state_code,state,city,latitude,longitude
IN.16,Maharashtra,Ausa,18.24728,76.4993
IN.36,Uttar Pradesh,Aurās,26.91414,80.50792
IN.34,Bihar,Aurangābād,24.75204,84.3742
IN.16,Maharashtra,Aurangabad,19.87757,75.34226
IN.36,Uttar Pradesh,Auraiya,26.46517,79.50918
IN.19,Karnataka,Aurād,18.25397,77.41761
IN.25,Tamil Nadu,Attur,11.59414,78.60143
IN.13,Kerala,Attingal,8.69609,76.81507
IN.02,Andhra Pradesh,Attili,16.7,81.6
IN.19,Karnataka,Attibele,12.77809,77.77259
IN.25,Tamil Nadu,Attayampatti,11.53272,78.05363
IN.25,Tamil Nadu,Attāni,11.52205,77.51219
IN.24,Rajasthan,Atru,24.87686,76.66105
IN.36,Uttar Pradesh,Atraulia,26.3333,82.94727
IN.36,Uttar Pradesh,Atraulī,28.02964,78.28571
IN.35,Madhya Pradesh,Athner,21.62382,77.91523
IN.40,Telangana,Atmākūr,16.33802,77.80855
IN.02,Andhra Pradesh,Atmakūr,15.88109,78.58704
IN.25,Tamil Nadu,Adirampattinam,10.34059,79.37905
IN.19,Karnataka,Athani,16.72613,75.06421
IN.21,Odisha,Āthagarh,20.51999,85.62965
IN.10,Haryana,Ateli Mandi,28.1008,76.2598
IN.36,Uttar Pradesh,Atarra,25.28618,80.57155
IN.24,Rajasthan,Āsind,25.7342,74.33278
IN.21,Odisha,Āsika,19.61114,84.65998
IN.40,Telangana,Asifābād,19.35851,79.28415
IN.16,Maharashtra,Ashti,19.37671,76.2252
IN.16,Maharashtra,Āshti,18.80519,75.17562
IN.35,Madhya Pradesh,Ashta,23.01754,76.72208
IN.16,Maharashtra,Ashta,16.94943,74.40936
IN.35,Madhya Pradesh,Ashoknagar,24.57578,77.73123
IN.34,Bihar,Asarganj,25.15046,86.68639
IN.28,West Bengal,Āsansol,23.68333,86.98333
IN.16,Maharashtra,Asangaon,19.43866,73.30594
IN.10,Haryana,Āsandh,29.52119,76.60552
IN.34,Bihar,Arwal,25.24281,84.66571
IN.16,Maharashtra,Ārvi,20.99585,78.22914
IN.25,Tamil Nadu,Aruppukkottai,9.5096,78.09588
IN.25,Tamil Nadu,Arumuganeri,8.5688,78.09091
IN.25,Tamil Nadu,Arumbāvūr,11.38096,78.72965
IN.13,Kerala,Arukutti,9.86667,76.35
IN.19,Karnataka,Arsikere,13.31446,76.25704
IN.35,Madhya Pradesh,Āron,24.38109,77.41739
IN.12,Jammu and Kashmir,Norīa,32.52095,74.79845
IN.11,Himachal Pradesh,Arki,31.15196,76.96675
IN.19,Karnataka,Arkalgūd,12.76171,76.06035
IN.37,Chhattisgarh,Arjunda,20.94605,81.202
IN.25,Tamil Nadu,Ariyalūr,11.13849,79.07556
IN.25,Tamil Nadu,Arimalam,10.25498,78.88403
IN.25,Tamil Nadu,Arcot,12.90569,79.31897
IN.25,Tamil Nadu,Aruvankad,11.36315,76.7579
IN.25,Tamil Nadu,Aravakkurichchi,10.77598,77.90869
IN.34,Bihar,Arāria,26.14934,87.51323
IN.25,Tamil Nadu,Arantāngi,10.17235,78.99118
IN.25,Tamil Nadu,Arni,12.66771,79.28529
IN.16,Maharashtra,Ārangaon,19.02681,74.71487
IN.37,Chhattisgarh,Arang,21.19639,81.96912
IN.25,Tamil Nadu,Aramboli,8.24962,77.52161
IN.33,Goa,Arambol,15.68681,73.70449
IN.28,West Bengal,Arāmbāgh,22.88333,87.78333
IN.25,Tamil Nadu,Arakkonam,13.08449,79.67053
IN.34,Bihar,Arrah,25.55629,84.66335
IN.16,Maharashtra,Āpta,18.85413,73.12963
IN.36,Uttar Pradesh,Aonla,28.27402,79.16521
IN.36,Uttar Pradesh,Anūpshahr,28.35748,78.26914
IN.35,Madhya Pradesh,Anūppur,23.10344,81.69083
IN.24,Rajasthan,Anūpgarh,29.19111,73.20861
IN.36,Uttar Pradesh,Antu,26.05654,81.90267
IN.35,Madhya Pradesh,Antri,26.05804,78.21027
IN.37,Chhattisgarh,Antāgarh,20.09256,81.1586
IN.24,Rajasthan,Anta,25.15,76.3
IN.16,Maharashtra,Anshing,20.0409,77.31501
IN.25,Tamil Nadu,Annur,11.23616,77.10514
IN.19,Karnataka,Annigeri,15.42513,75.4335
IN.25,Tamil Nadu,Annavāsal,10.4606,78.70029
IN.25,Tamil Nadu,Annāmalainagar,11.4,79.73333
IN.19,Karnataka,Ankola,14.66049,74.3047
IN.09,Gujarat,Ankleshwar,21.63236,72.99001
IN.33,Goa,Anjuna,15.58005,73.74487
IN.09,Gujarat,Anjār,23.11316,70.02671
IN.16,Maharashtra,Anjanvel,17.55104,73.14567
IN.16,Maharashtra,Anjangaon,21.16516,77.3091
IN.35,Madhya Pradesh,Anjad,22.04171,75.05519
